ROW	COL	DIFF %
200	200	-0.444479396
200	400	-0.443610141
200	600	-0.440469403
200	800	-0.399327233
200	1000	-0.422225724
400	200	-0.394356058
400	400	-0.372070682
400	600	-0.376960686
400	800	-0.346474304
400	1000	-0.333326733
600	200	-0.361986718
600	400	-0.327595257
600	600	-0.30213853
600	800	-0.285464345
600	1000	-0.315282508
800	200	-0.325783873
800	400	-0.304191008
800	600	-0.267456349
800	800	-0.293814347
800	1000	-0.313837116
1000	200	-0.341066978
1000	400	-0.274290014
1000	600	-0.293241188
1000	800	-0.292742425
1000	1000	-0.30006256
